,GRB,+3sz,+1sz,mlz,-1sz,-3sz
168,GRB160603719,0.087,0.274,0.5385,1.425,
169,GRB160612842,0.3321,,,,
170,GRB160726065,0.0744,0.2294,0.4363,0.9987,
171,GRB160804180,0.1258,0.4244,0.9588,,
172,GRB160804968,1.3325,,,,
173,GRB160806584,0.0285,0.0822,0.1428,0.2568,1.2357
174,GRB160820496,0.2092,0.8567,,,
175,GRB160822672,0.2029,0.8156,,,
176,GRB160829334,0.2464,1.1385,,,
177,GRB161026373,0.0713,0.219,0.4134,0.9222,
178,GRB161218222,0.2922,,,,
179,GRB161230298,0.3189,2.2838,,,
180,GRB170111760,0.3733,,,,
181,GRB170124528,0.1933,0.7578,,,
182,GRB170127067,0.0714,0.2194,0.4143,0.9255,
183,GRB170127634,0.2035,0.8198,,,
184,GRB170206453,0.0233,0.0668,0.1152,0.2043,0.8277
185,GRB170219002,0.409,,,,
186,GRB170222209,0.0774,0.24,0.4599,1.0848,
187,GRB170304003,0.0479,0.142,0.2549,0.4931,
188,GRB170305256,0.066,0.2008,0.3746,0.8029,
189,GRB170325331,0.2261,0.9742,,,
190,GRB170403583,0.2047,0.827,,,
191,GRB170506169,0.2276,0.9866,,,
192,GRB170604603,0.2052,0.8313,,,
193,GRB170709334,0.088,0.2776,0.547,1.4694,
194,GRB170711713,0.4664,,,,
195,GRB170726249,0.0535,0.1598,0.2902,0.5776,
196,GRB170816599,0.0296,0.0855,0.1489,0.2687,1.4163
197,GRB170826369,0.2261,0.9747,,,
198,GRB170827818,0.0915,0.2902,0.5774,1.6453,
199,GRB170915520,0.1988,0.7902,,,
200,GRB170926782,0.0162,0.0459,0.0782,0.1356,0.4659
201,GRB171108656,0.0063,0.0178,0.0298,0.0504,0.15
202,GRB171207055,0.3149,2.1677,,,
203,GRB171230119,0.8335,,,,
204,GRB180204109,0.1013,0.3268,0.6707,,
205,GRB180225417,0.2251,0.9681,,,
206,GRB180313978,0.1739,0.6495,2.2747,,
207,GRB180402406,0.1574,0.5668,1.6671,,
208,GRB180402481,0.1443,0.5047,1.2649,,
209,GRB180511364,0.4866,,,,
210,GRB180511437,0.0106,0.0298,0.0504,0.0861,0.2707
211,GRB180523782,0.3122,,,,
212,GRB180525151,0.4683,,,,
213,GRB180602938,0.2068,0.8409,,,
214,GRB180617872,0.0451,0.1331,0.2379,0.4552,
215,GRB180625941,0.1656,0.6069,1.8553,,
216,GRB180626392,0.1198,0.3994,0.8779,,
217,GRB180703949,0.0089,0.0249,0.042,0.0714,0.2191
218,GRB180715741,0.0918,0.2915,0.5807,1.6679,
219,GRB180715755,0.1509,0.5352,1.4108,,
220,GRB180913783,0.1294,0.4393,1.0096,,
221,GRB181126162,0.1475,0.5195,1.3499,,
222,GRB200415367,0.015,0.0425,0.0723,0.1249,0.4206
